"","Returns"
"2016-11-15",0.174639869030813
"2016-11-16",0.603668454116577
"2016-11-17",-0.140821287094868
"2016-11-18",-0.0552666265210184
"2016-11-21",0.0123744388301459
"2016-11-22",-0.146741221728752
"2016-11-23",0.107439192769998
"2016-11-24",-0.216505958837746
"2016-11-25",0.0286167737842122
"2016-11-28",0.344735461900034
"2016-11-29",0.210731132614831
"2016-11-30",0.180943014918358
"2016-12-01",0.166884090086237
"2016-12-02",0.0510565179002631
"2016-12-05",0.0931503164164336
"2016-12-06",0.108989381737005
"2016-12-07",0.0217315651494143
"2016-12-08",0.0129597531428822
"2016-12-09",-0.0365264759599921
"2016-12-12",0.103029144552553
"2016-12-13",0.00219217465274113
"2016-12-14",-0.0994308903874246
"2016-12-15",1.41689030026919
"2016-12-16",-0.310620477413624
"2016-12-19",-0.152561266237501
"2016-12-20",-0.0834838858118765
"2016-12-21",-0.0370934778311711
"2016-12-22",-0.00176058969843407
"2016-12-23",0.0486890435258891
"2016-12-26",0.128773436113341
"2016-12-27",0.302968686876618
"2016-12-28",1.72779939042862
"2016-12-29",-0.150933188974095
"2016-12-30",-0.0772434630836087
"2017-01-02",-0.148111789955544
"2017-01-03",-0.173406850931866
"2017-01-04",-0.595065677736501
"2017-01-05",-0.439101488879974
"2017-01-06",-0.376859590200432
"2017-01-09",0.0177432033143947
"2017-01-10",0.0157598570079687
"2017-01-11",0.0884669950271217
"2017-01-12",0.0423487847570465
"2017-01-13",0.0716219339635551
"2017-01-16",0.176925262942933
"2017-01-17",0.166998072914331
"2017-01-18",0.153217710007806
"2017-01-19",-0.038740398567044
"2017-01-20",0.176054486712676
"2017-01-23",-0.0258571803079403
"2017-01-24",-0.10892083444447
"2017-01-25",-0.2691547423463
"2017-01-27",0.132825690147032
"2017-01-30",0.00846170706879312
"2017-01-31",0.00160223750823651
"2017-02-01",-0.254556601137207
"2017-02-02",-0.108000098977969
"2017-02-03",0.00124849625379853
"2017-02-06",-0.150560829226057
"2017-02-07",-0.530373123447401
"2017-02-08",-0.16683290409979
"2017-02-09",-0.0637019789485911
"2017-02-10",0.0426911243446866
"2017-02-13",-0.0293471197139321
"2017-02-14",0.130852830299874
"2017-02-15",0.076159965160322
"2017-02-16",0.165116856922344
"2017-02-17",0.390981080573443
"2017-02-20",-0.549675379062165
"2017-02-21",0.129714805053963
"2017-02-22",0.0458372820092416
"2017-02-23",-0.0463102907386293
"2017-02-27",-0.0563809683042532
"2017-02-28",-0.292437315491769
"2017-03-01",0.0483207458430968
"2017-03-02",0.221444767268237
"2017-03-03",0.0836900921735045
"2017-03-06",0.0174360652450855
"2017-03-07",0.0917922196568564
"2017-03-08",-0.0346534490866364
"2017-03-09",0.343805537206102
"2017-03-10",-0.0513456290472526
"2017-03-14",-0.0212867333910788
"2017-03-15",0.0652960304023399
"2017-03-16",-0.0176942473569331
"2017-03-17",0.0793708409155398
"2017-03-20",0.00764715426231011
"2017-03-21",0.0132591680595181
"2017-03-22",-0.406594027406775
"2017-03-23",0.060848030320527
"2017-03-24",-0.138590363642467
"2017-03-27",0.227256275961869
"2017-03-28",0.317057688687571
"2017-03-29",0.159873094452565
"2017-03-30",0.260555127610796
"2017-03-31",0.102171048034627
"2017-04-03",0.0358274414637694
"2017-04-05",-0.107540872172958
"2017-04-06",-0.112428413258661
"2017-04-07",-0.315898531480163
"2017-04-10",-0.482538719130485
"2017-04-11",-0.146117351989179
"2017-04-12",-0.00815747203363063
"2017-04-13",0.0503393409431171
"2017-04-17",0.130434736583318
"2017-04-18",0.414769901742172
"2017-04-19",0.272658358570792
"2017-04-20",0.168782030671532
"2017-04-21",0.000746569661635332
"2017-04-24",0.032795112902291
"2017-04-25",0.0677188802316104
"2017-04-26",0.215439779776273
"2017-04-27",-0.288417253094328
"2017-04-28",0.218215347016215
"2017-05-02",0.627228548083455
"2017-05-03",0.180430089310208
"2017-05-04",0.0302175162612779
"2017-05-18",-0.974969854536897
